cell_type	COMET_0003M1	COMET_0005M1	COMET_0008M2	COMET_0027M1	COMET_0071M1	COMET_0111M1	COMET_0122M2	COMET_0134	COMET_0138	COMET_0145	COMET_0151	COMET_0169	COMET_0172	COMET_0182	COMET_0190M3	COMET_0192	COMET_0233M2	COMET_0255	COMET_0272	COMET_0277M1	Lme_0015	Lme_0017	Lme_0027M1_1	Lme_0033M1_2	Lme_0042M1_2	Lme_0047M1_2	Lme_0072M1_2	Lme_0078M1_1	Lme_0081M1_1	Lme_0087	Lme_0098	Lme_0110	Lme_0067	Lme_0101	Lme_0095	PC_0234M1	PC_0256M1	PC_0422M1	PC_0574M1	PC_0344M1
T cell CD8+ effector memory	1.681090230372408e-5	0.018738866100764588	0	8.278017536921687e-19	4.721695293298681e-18	0.01989623557720827	0	2.99999351723612e-4	1.1437680100788103e-18	0.010084589196875325	4.665950649710925e-20	2.873331299399375e-18	0.03368790701277716	2.28144693818735e-19	1.7546986644455375e-18	5.282816785306786e-19	1.0390630059053419e-17	0.0035697700419204735	1.2640517397653829e-18	0.01988333054212049	0	0	3.268348477926635e-20	0	0.002941499173540658	0.023630846877076662	0	0.021478320314924866	0.010723066670508511	0.0033300180323729655	0	8.399499980002614e-19	0.014204404494557652	1.2571105665476205e-19	3.311765403872308e-19	0	0	0	0	0.005805406301189782
Class-switched memory B cell	8.436192911499089e-19	0.006487718172185932	0.006320181244461061	0	5.4925679102698875e-18	0	0	0.0031834928998919695	0	2.754531220207786e-19	3.909139925593453e-20	0.008878483061779808	0	0	0	0.0013705967315794283	9.254171070586514e-4	0	0.005265415406989269	0.016277377339501416	0.0053632007365317915	0	1.7046019946905167e-18	4.728322078368535e-19	1.067991204469669e-18	0.028616655695837108	0.013516482098158927	0.012328915742573684	0.010461835195199509	0	0.009826511431840839	0.03048538508493755	0.055613412490170544	2.477299687830801e-19	0.0025857650981020125	0	0	0	4.3460089332119305e-5	0.01001170889841411
Common lymphoid progenitor	0.016275779972997177	0.06095760107996016	0.005505732720757193	0.015643776615829927	0.011637308067911066	0	0.019864303504524373	0.005743604994412573	0.018538749335098907	0.013439331072102375	0.014568827720466877	0.016711821485431336	9.727488079094946e-21	7.310083172087366e-19	0.01102831141109833	0.023974677512566978	0.028332249148331736	0.03390774906948449	0.007491133239417733	0.002886989882505657	0.03339927704726905	0.02249514256883429	0.022490220587719906	0.025465490255229355	0.028461136517745254	0.028734914944428046	0.021833844483965074	0.01996530909323049	0.034163188961190936	0.026398716319862684	0.02352303701142131	0.022765693335925298	0.03173919750265997	0.0330076640726466	0.04014903457709109	0.03851888159576246	0.017822445147552973	0.0017404283641999363	0.02449363769291481	0.014628640065503237
Common myeloid progenitor	1.6789354283099462e-18	8.640859931477209e-19	0	2.624828361759202e-18	4.111820400001317e-19	0	1.8108255690487827e-18	0	0	0	0	2.141877814245325e-18	0.011077972649926965	1.3474168440896734e-18	2.3127265350055487e-19	0	2.045253183367735e-18	3.878305846204314e-18	1.2739128669051784e-18	0	1.6190417584536924e-19	1.5559276861466654e-18	2.721107359535571e-19	2.216392828953512e-18	1.3152784183291132e-19	0	1.0406067110163315e-19	0	6.36312202996866e-19	5.414302701835855e-18	0	0	1.7074108518373034e-20	0	0	0	2.046436251963709e-18	2.0458674275658343e-21	0	3.649717461040707e-19
Myeloid dendritic cell	0.013444242163531912	0.012778911845661604	0.00581809957253867	0.010282721758473199	0.014040950338716602	0.03628463857041093	0	0.006133159226433108	0	0.015806761697813056	3.25149228857394e-4	0.0028571433968925526	0.026572444056716	0.001148654626634052	0.006953926147375357	0.015173694260592528	3.7475710617440805e-19	2.3499066725055866e-19	0	0.005083839284272897	0.011566819318975876	0	0.003703845894721731	0	2.5224426773009485e-19	0.007367585487677593	0.008073253575328251	0.010767986683455669	0.003684009905032578	0	0.002385189254320843	0.03381287683593393	0.025155153938003553	0.008484439331920097	0.005021752093791891	0.005719878646957339	4.979990129537711e-19	0.03329056966371544	0.005548068062172435	0.004888801568794322
Endothelial cell	0	2.258919776215522e-20	9.028701560172116e-20	0.002926839068207967	0.014023068402506552	0	0	0.002950750945588306	3.0344932987527953e-21	0.006549962319953916	4.2556138761315807e-19	0	0.054817978006624	0.002841164775665857	0	0.03224945781051693	2.5063931752569725e-19	2.6962722143045897e-4	2.7136530282882712e-19	0.00871663841633875	0.00395795405380272	0.003116563964603192	0.008361163897414604	0	0.0025244318344479566	0.014984307706516868	0.007548146936328322	0.018331457293605528	0	0.07043614047658445	0	0.01836128898910316	0.014529700905125939	0.03591066966297737	8.537276533721287e-4	0.00728934073230242	0.013334296515470514	0.0538735095895546	0.04317880138478932	0.01289503117782013
Eosinophil	0	0	0.0017587809430163659	7.558893143634299e-19	0	1.6723609406502326e-18	1.5537780955805637e-18	0	0	1.3526557031254522e-18	0.009521551145131368	0	0	3.6060878699257146e-18	1.8931393814095522e-19	0	0.0019331972875008237	0	0	0.00791622639764375	0.001130745818251857	1.661488181263566e-18	1.6370410307421835e-4	2.633795013511907e-19	1.650207121617686e-18	0.002135130465788712	0.013799062624049738	0.0038095316838266005	0.01850846063153663	1.1475209712921728e-18	4.990009061329507e-19	2.4884816199893853e-18	1.3480924002002056e-21	0	3.0070505099473375e-18	8.643448483361531e-4	0	0	1.0556912469540239e-18	0
Cancer associated fibroblast	0.06077028644625271	0	3.748801762211176e-18	0.025037805479015286	0.07605907913063435	0.03562109631724346	0	1.587948391018903e-18	0	0.009029776329274788	0.023016170303749566	7.614186855475109e-18	0.11805816667655868	0	0.004344673137707933	6.420150677852082e-4	7.57319936685859e-19	0	3.0239224847334368e-18	0.004895897210160883	2.4488790790460436e-18	0	0.008624096165747932	0	0.0068349585210225215	0	0	0.056341385817014346	0	0.0773227414598303	0.002675613958469497	5.736166403841213e-18	0.09698667753748244	0.045486775587212196	0	0.0428463030903819	0.09521066906038468	0.19740507177127944	0.09898088330956499	0.06634130880409002
Granulocyte-monocyte progenitor	0	1.2927776519812776e-17	6.8381956087113315e-19	2.690478118338079e-19	3.245949908822433e-18	0	1.8792773647389374e-18	0	0	0	1.5312448696567318e-19	5.162215540789516e-18	0.004491033662226946	1.3743223936036356e-18	2.7607897312240224e-19	0	9.879971796414115e-20	0	2.4443139647437934e-18	7.841464655383837e-19	8.330856968457719e-18	8.540933295626445e-19	0	0	2.7563104513424007e-18	0	1.1126951249235706e-18	0	0.03401848643288847	0	3.5143684177437866e-18	2.2464523721571127e-18	0	1.7635058563660384e-18	7.421629928211353e-18	0	0	0	4.2564599931789585e-18	0
Hematopoietic stem cell	0.038039196232142185	0.014497597814559685	0.02384770738816171	0.0911350653236926	0.13071229213818128	0.10403566894417864	0.011320505743983073	0.029654390626716796	0.01392018388457352	0.016574243880776992	0.01564172903414699	0.005442335028463899	0.378416433842946	0.021289375347471495	0.0010293832135285803	0.035420208583773545	0	0	0.002038830094116671	0.03956484571538654	0.029597208574672736	0.02144906616349087	0.06832649655219421	4.970090678666538e-4	0.03656605035252748	0.0828674604642624	0.05082492702741466	0.06880391405630046	0.00631927957540133	0.13479997607597238	0	0.07535313729682856	0.17573989985736274	0.15121331179806463	0.014752737734998312	2.908167374183289e-19	0.053058682302750536	0.22661290768906656	0.07383026413773688	0.017168711473282368
Macrophage	0.040445820642839934	0.022770036965924976	0.01530372231643055	0.0574134157977165	0.02766814595063928	0.05159306339630562	0	0.02788377527923422	1.019389621224609e-18	0.043911836123644805	0.011277306644508427	0.003438807690416089	0.041108034553169366	0.006024593005736298	0.0340340095688671	0.07830951900352656	0.01017652900204353	0	0	0.0068782224119880685	0.013253001591550509	0	0.07044894857160483	0	1.217092545021803e-20	3.855155802884317e-19	0.016663732581763593	0.008178260265004797	0.0038945247057852626	0.021480307231185138	0.010981299964748807	0.042950123606235124	0.012733943104267545	0.018893001626851782	0.004377190439009638	0.009154638320301906	0.014724603655809803	0.06075849670179541	0.00999475406387041	0.04078446502957615
Macrophage M1	0.045927764275115385	0.014063464569813037	0.019288361196747178	0.05480786198998778	0.028354923461062397	0.03107444839081573	0	0.021554378483146553	0	0.04710123929437112	0.008316663614694492	0.003502146849311159	0.033232890975295144	0.017408733499112917	0.030354638230472516	0.06180762170315378	0.010954831557806407	0.0018176122933239922	0.0018245686435352983	0.01229277495582241	0.009429209947667395	0	0.044259588428224333	0	6.66485823779249e-4	7.285090675635442e-20	0.019711138012122518	0.006183701087579607	0.003659584178168139	0.017063660485337064	0.00879753826956703	0.03629138558869304	0.02058968386801953	0.018825591715729943	0.004644439748522647	0.011534933237217057	0.019221055166383234	0.05372733988967898	0.010798712542672402	0.029924215366867256
Macrophage M2	0.005610812229691978	0.009354302390213948	0.004168637118458895	0.03461910664305676	0.02417357025524059	0.03293216948925047	0	0.012853511100289568	0.0035929883066485057	0.005838812344615824	0.010176516582647479	1.3609659325096356e-20	0.06559918313920159	0	0.014752890187583257	0.05463634752311934	0.00245764015124923	0.00110820007800824	0.0013817617154435542	0.0024240339993345	0.014159359757185555	7.044857902011028e-20	0.04908276092686415	2.5909218095974636e-20	0.006903033213179849	0.005200717137354939	0.018774193179394456	0.00849071017713939	0.007228829251699905	0.012678977296048959	0.0029145594287275922	0.029107429043341324	9.590672407138766e-19	0.015316451250153787	5.915367266356938e-4	0.00984178607657597	6.365842249942791e-4	0.03844204078833111	0.014828852160103692	0.03486779544275769
Mast cell	0	0.0028521896898142237	0.008002806394964628	0.002546909100644782	0	0	0.006314833511209644	0.00463831882632673	0.009046267861144642	0.006578899858051184	0.0024450725857849626	0.005201817342972181	0.0028543577946953504	0.004629769878920585	0.006745664892367816	0.009814703980768624	0.005149071335591072	0.009956918730392868	0.005543404280990381	7.765205417135111e-4	0.003141910947278907	0.0025550371649826977	0.01005887704691131	0.0014050750510487225	8.261746673882996e-4	0.005354565852068525	0.0037654626962017037	0.007789802627564242	0.005027511380965739	0	0.006035097181845267	0.002467751187169371	0.0017536344315449211	0.009507477015744219	0.004163862450681103	0.010262181815232673	0.004100289417237735	1.194389250836151e-18	0.003774434827722152	0.007073577545555558
B cell memory	0	6.349454409573306e-20	0	0	0	0.007885600483354332	0	3.646324111441433e-19	0.0016625616715185878	0	4.584998952936423e-19	1.189574302239816e-18	1.8018885762886168e-18	0	6.001664049431071e-20	0.002355988738153111	2.9677121551209854e-20	1.7357713140325646e-20	0	0	0.001780981395798466	2.9340727173388247e-19	7.576675372731221e-19	9.184211268100703e-21	2.631469662953051e-18	0.0434749024507715	0.010101185154656534	1.2161446706550828e-18	0.005564462051399694	6.334568788136882e-18	3.221442918534068e-4	0.04366421406010791	0.04871919385316206	4.434307805958577e-19	5.485024595165956e-19	2.1464986231175427e-19	0	0	4.72715352362658e-18	0
Monocyte	0.04476285012133189	0	0.008333743699624262	0.022928312839690546	0.0241349135325269	0.07423417106939711	1.2319768828445932e-17	8.924924638658972e-21	5.998706676638418e-18	0.004668286028471943	7.426276046290605e-19	2.548516652898202e-18	0.06391768949622445	0.0016042290693419532	0.0012286303186177928	0.04935638721875661	0	6.203649568425728e-19	0	1.600880054963683e-19	8.76999148718112e-4	9.964130266700201e-18	0.012447093641178915	8.11896712486938e-19	1.3961588595954176e-17	2.1364329081355488e-18	0.005540828602928629	0.001936367733552763	0.0019361801702996164	0.0021596214471493193	6.429205797279925e-20	0.004434721022413349	0	0.01173304824727735	1.2325126671181277e-18	0.006946212632970521	0	0.006483521149651907	5.178872979239071e-4	0.015249936873541968
B cell naive	7.1165728733799e-21	0.0016522427419220736	0	0	0	0	3.106669361827121e-19	5.218027327690633e-20	9.349223820304518e-4	0.0012039953954247288	1.4123430985353471e-19	1.4413488982717884e-18	0	2.455408114761503e-19	7.097729177370272e-23	0.0026927861614514568	2.1640200204264373e-19	2.8816053105548357e-19	0	0	0.0010046633180698567	1.7409243210299544e-19	0	2.0795731960958168e-20	0	0.007703260411673248	0.002144867882247333	0	0.0019738694262197098	2.4372237062273756e-18	0.0017247756223532362	0	0.005047963676482093	0	0.0011877030119057585	5.745257408820658e-19	3.243460721952643e-19	2.968946530151068e-18	8.288274757344494e-21	0
Neutrophil	0	0	0	0	3.328664055173707e-20	0	0	1.559493422963711e-18	0	0	0	8.579150243866304e-19	0	8.3405950311510645e-19	0	1.7327454128231674e-19	0	0	0	0	2.6631775117575083e-20	0	3.350306451991052e-19	8.56430634374049e-20	0	0	0	2.458514499843767e-19	0	0	0	1.5927830550140725e-18	6.603781128578784e-20	0	8.441446550551181e-21	0	2.8535023309907685e-4	0	0	7.052330677133047e-19
