cell_type	PC_310	PC_161	PC_31	PCB_234	PCB_536	PC_292	PCB_594	PC_244	PC_142	PC_95	PC_201	PC_224	PCM_92	PC_301	PC_150	PC_102	PC_48	PCB_49	PC_330	PCB_714	PC_501	PC_497	PC_108	PC_160	PC_227	PCB_600	PC_284	PC_334	PC_66	PC_72	PC_83	PC_279
Endothelial cell	0.007335930910692644	0	0	0.020050212443864377	0.005013341283075186	0.03664634522206846	0.004654683966011855	0.03229023159880479	0	0.04020941476577962	9.584176957381484e-26	6.540869557735638e-4	0.04997987472379057	0.0024253875866690733	0.0314248250475693	0.09586447343641015	0.00508342928312097	0.013351136836886306	1.0002758429607943e-18	5.118714279009791e-4	0.011046024013973487	2.4660938588859987e-20	0.0023348085929317925	0.014981645237803015	1.3702170434887811e-19	0.00507244607880621	0.015625937527974823	0.013331857255639422	0.037777628023961604	0.06460456927736319	0.0037497040223047023	0.015140169521740125
Eosinophil	1.7671786534104395e-18	0	0	0	0.014124461902586035	2.4355190888189955e-18	7.141783463014509e-4	7.439644878799092e-19	6.234601817286167e-19	0	0	0	0.010970881684274215	1.486396457025561e-19	0	0.008909817878989004	0	6.849605288869505e-19	3.6299021678840426e-19	3.580252035509582e-19	0	0.014064871336624422	9.054213754796783e-21	2.992391010594117e-19	6.32376465292471e-4	0	3.0745862124315287e-21	0.0022124886514002045	9.573318187326751e-19	0	0	1.899233394497682e-4
Cancer associated fibroblast	0.06330104478961412	1.0721217769982437e-18	0.04324238100750479	0.08509250769050439	0.0429126730626676	0.1318575364704374	0.056084848800733514	0.16102778820028862	0	0.12265021581605716	0.013550138891733928	0.02547902873262913	0.09983036058574658	0	0.16502353558136917	0.150451783335138	0	3.2503122654144046e-18	0	8.508433055030731e-20	0.11084232972564491	0.02397303175705875	0.0715842951252301	0.08306256638496216	0.021454762208921507	0.025391794134853596	0.0841520571825247	0.08878586473409705	0.2640284263611658	0.29876346677381294	0.20867778711955573	0.07068856498783371
Granulocyte-monocyte progenitor	2.6399952622022667e-18	0	0	5.975841952128852e-20	0	0	0	0	0	0.008588595851678017	2.571201012994065e-19	2.2907465286245187e-18	0	0	0	3.5953319048036987e-19	1.867059883660498e-18	0	0	0	1.5102823420299276e-18	2.1988928977286913e-18	0	9.736103362905317e-19	8.11013878017622e-19	0	0	0	2.3825241916252244e-19	0.0030740682024617107	0.0016090369690467676	3.712676877977571e-18
Hematopoietic stem cell	8.775051954958606e-19	0	7.12290044260496e-4	0.06587288049693926	0.006548130898167691	0.05444053751873653	0.010117278300347952	0.022795249026367963	0.02018905139727365	0.13701453447841108	1.4206151996569671e-4	0.004640000336847803	0.07963900371542317	0.019722739217411935	0.057449561683693924	0.1620684424620066	0	0.008630247503894626	0.0089582214888873	0.019365507057798263	0.023300817534964543	0	0.00267574236559997	0.06953198411887959	0.01875088313819173	0.007244361718876515	0.019678854111908388	0.027049143177480445	0.1622293720756475	0.13939519711849555	0.08660313965256065	0.008291552707405602
Macrophage	0.003948269155033688	0.013847152481003759	0.04549992717628412	0.029539541332269593	6.974345925811979e-4	0.003795476132318661	0.04372922427998912	0.03494040219979795	0.01355893961496964	0.03123958277823974	0.00632728356561681	0.0022793625381377115	0.009535340236818714	0	0.03598692411722588	0.043203759424525465	6.473312875927766e-20	0	6.453851773551771e-19	0	0.01143841845920676	1.6900596113988133e-19	0.012097742129852691	0.0033827269182965477	0.003755183479498522	0	0.022532603164103056	0.017209278707425793	7.483709807636694e-23	0.004751823888133288	0.026544103332058408	0.007694228253351981
Macrophage M1	0.013460063046069094	0.021898687772176274	0.051080996929389104	0.02763688720212393	0.005500890983909521	0.02292008143705792	0.050519734999550286	0.04977296890296126	0.012325681701295674	0.04608801298409107	0.010445460063004631	0.004306218923070174	0.01453325373573343	0.004512130123719334	0.029974077190311005	0.03475380902927923	0.0038350553895242436	0	0.003469988852541645	1.4514301468696242e-18	0.013556587147550146	0.0033404295883004034	0.011718367422986747	0.006935535183644189	0.009879056038557658	0	0.03478148397054874	0.01690478213421016	0.019162557448325544	0.011076204785326024	0.018922635232353976	0.008860093007331123
Macrophage M2	9.124352255921974e-4	0.00318836338607495	0.01725813848186672	0.007499448340279735	8.772415732243153e-20	0.0055956364461741005	0.0047826350927499175	0.013129042491339631	0.002547023067749719	0.012420145959107206	0.0011230143717956846	8.103256260692467e-20	0.00513895645184595	0.0032456542927693593	0.03599693893515514	0.012820881038280925	9.99171553361159e-4	2.620315107855627e-19	1.609706568697573e-19	0.0035872858187667007	0	3.702110580813518e-4	0.007435098812441899	3.323099758253795e-20	2.89205574021618e-19	0	0	0.006425801339552726	0.0033490378120207558	7.101158031689147e-20	0.011673092602025991	0.00291810911359056
Mast cell	1.4545847328650167e-22	0.007229765036674584	3.185058861804223e-4	1.5708237279225738e-20	0.0019412920068313446	0	0	0	0.00235139310811716	7.534020121132024e-20	6.705668331533934e-4	0.001202375323823501	0	0.0018710095308687533	0	1.4499437722071365e-19	6.430394841198403e-4	0.0012203570604724496	6.028772564196957e-18	0.0042245883734532055	0	0.0014389210774900906	6.616994337961165e-4	0	0.00298579581461805	0.0022998647087647847	9.720054023832633e-4	4.772065166570553e-4	0	2.0133537034549516e-18	0.011017736985011637	0.0010516363701707368
B cell memory	1.7225488891611968e-18	0	8.552898326993399e-4	0	8.641727886613458e-4	0	9.751067841435257e-4	0.011031542135314858	0	9.510518893460645e-4	1.180708428040618e-19	5.1139250139188726e-5	0	0.007242073628419552	0	0	0.0022164300368471947	3.402489941564272e-4	0	0	0	0	1.922710452500945e-4	0	2.0501973269759716e-18	7.383986063158522e-21	0.006615996395599896	0	0	0	0.01870526679791856	4.942041679934942e-20
Monocyte	0.003162051061974729	0.004982731624595277	0.02665288401490363	2.0931633007515829e-4	2.9407494554508513e-18	0.007533435138009258	0.025705702679580646	0.04618455992901814	0.008797823081682643	0.051954373877282856	0.005550032651360658	3.744249203591911e-19	0.015239783397766998	2.0222370433903712e-19	0.009212523593959413	0.06615994821256721	7.041309917248739e-19	0	5.033503177406189e-18	0	0.013044744237612933	3.8008942219557657e-19	0.0012452811497713219	0	0.003362944486106018	0	0.004813563365577066	0.02189211708047832	0.004359313312022737	0	0.015902933087247783	0
B cell naive	0	0.001909349701020961	4.541662072709924e-4	0	0.0035779398367073896	0	9.15739682132062e-5	6.068059702034128e-19	0	0.0032118713978546327	2.73362568819669e-19	0.001601705647855784	0	0	4.642269427288795e-5	0	0	2.2964393604524024e-19	0	2.4573826876502356e-19	1.411652839702484e-19	0	0.0010601241783557626	2.8925339802851894e-18	2.8617040834506008e-19	6.588480465379824e-4	0.0022628114205660048	4.926918783935823e-19	3.924656644930123e-19	3.336895609488129e-18	0.01299396482649808	0.0020684063137682805
Neutrophil	2.871652859327366e-19	3.026053915287668e-20	2.587195588307428e-19	1.62294167114917e-4	0	0.0018266655965570244	0.001826878213182878	0	0.0010965450114993236	0	0	2.3025173344729153e-20	1.9090478704339962e-19	7.32644079640355e-5	3.3738268989625715e-20	0	0	2.5508266537297882e-21	1.3312160066703532e-20	3.520454515299724e-19	2.0052340908247464e-20	0	0	3.6784197490964385e-20	2.1229421775392887e-19	3.681546269005224e-19	1.3795586518481866e-19	0.0025026066301288034	0.0016309034032664657	0	0	0
NK cell	0	3.9287270650834325e-18	0	0	0	0	0	1.0732373152865294e-18	6.754821952400494e-19	1.4310366595181797e-18	3.747528849785905e-18	3.9311071733338926e-20	0	0	0	0	5.332142978695988e-18	0	0	3.582792996980456e-18	0	2.7274177147060587e-17	1.3255158999434576e-18	0	0	0	1.3221608548781946e-18	0	1.8170975211616096e-18	0	6.508839980732842e-19	0
T cell NK	0.035089586405304844	0.0014567815671126202	0.023853886448798666	0.01852728527466224	0.014910123059177039	0.04631627956544549	0.01662155828275355	0.044973786038724144	0.006110176540734031	2.08775944053649e-18	0.05015686273949978	0.019122270569171613	0.00923950385283602	0.07441689711960844	0.02090794534826419	0.024197050594563105	0.1578975065716624	0.05486719891116537	0.03574994178620176	0.06110260125994974	0.10701427189288502	0.11353884959925857	0.0501673552692623	0.037808964978438525	0.027181639589316093	0.012703134520786283	0.01313143111650493	0.02672305324674603	0.008320851279449109	0.04208704008439662	0	0.049841356584543646
Plasmacytoid dendritic cell	0.0023590191434742598	0.006623496773172648	0.010994495290502284	0.003908736821838934	0.009816814895177824	0.002456355639562245	5.320672969077426e-4	0	0.0025555583639555643	0.02630316831975505	0	0	0	0.0061356444171768035	0	4.1575750052445704e-19	0.016133476970173033	9.162036766002257e-20	0.02436118395941691	0.02811571714234848	0.0035122351073383494	0.004084072365059679	0.010848988620602178	0	0.0049274327551539565	0.01180993927282579	0.04527374968090344	0.004119367772866605	0	7.202160674486042e-18	0	0.012146233081299262
B cell plasma	4.42437795762264e-4	0.023804332030278246	0.0021137288096253	7.19282146299949e-20	0.006113505252253414	0.0013833058875277996	1.4951260365760103e-5	0.005362206047833785	0.011524761904229177	0.004641622346422727	0.0031653114858356942	0.0026614886013537915	3.770442025601115e-20	0.018393265118989758	1.134680733584668e-19	0	0.01007395997670898	0.0095163897168642	0.016383508775390524	0.015448080204847892	3.9421359322301235e-21	0.008987822698646074	0.0016516736806841043	0.005439275600078911	0.00934445636409436	0.007792893703009032	0.0121854379450488	6.310817192210242e-4	0	1.7804909486660526e-19	0.026580979648425616	0.002465498347348141
T cell gamma delta	0	3.594957307222017e-19	4.402176548075307e-18	5.151217394296608e-18	0	0	2.1455191893848938e-18	0	3.3090386257673453e-18	6.031524199222967e-18	1.3224108349286913e-20	1.3345969022100076e-18	0	1.832599936603462e-18	3.268387434570077e-18	8.229449798740085e-19	0	0	4.580741308960386e-19	0.0024263712102103006	0	9.342633876730648e-18	1.7945915324634193e-18	0	0	0	5.636480472606679e-18	1.2819437369256417e-18	9.503047013227225e-18	7.84312951215076e-18	5.570271428600983e-18	0
T cell CD4+ Th1	0.015947614161429684	0	0.014803645866627045	0.022896223067203902	0.010206903635351513	8.221417956530146e-19	0.003925344290116969	2.787718549636944e-18	0	0	0.039952405144102254	0.02329359859044917	4.0853513134474824e-19	3.92741141476229e-18	3.1042925967094115e-18	0.004121397192839585	0.09396397087478364	0.03913218895289418	0.014507054701507179	0.009663586534551308	0.03675713627466246	0.008857850129112218	0.0027023657821566268	0.00603639177283264	0	0.04569853056448578	8.347635801580789e-19	1.1467815334144134e-18	0	3.560204781255264e-18	6.361071777752093e-18	0.026110680257075004
T cell CD4+ Th2	0.03017975607421637	0.1489252335034748	0.1837388042638644	0.0313817320326731	0.03375591807173263	0.04054106586490268	0	0.04890387923811183	0.17564218996103675	0.11119722304290777	0.007919488115242184	0.03500639184166346	0.007255004929676567	0.026265137285876823	0.05432159107092808	0.012475671465834394	0.024239025217705556	0.009727226493558793	0.01741830286515163	0.048403408979766	0	6.7257688507166616e-18	0.035463268716766534	0.03227363109238305	0.05167787397579304	0.07863385769828596	0.0941081733175127	0.0403975129840882	0.025363545174656783	0.05789820356200694	0.08619446666976877	0.02547353991072583
T cell regulatory (Tregs)	0.008106885662454908	0.029063747553386803	0.010387081806791454	1.7541215139609253e-18	0	0.01214884771333522	0.0016177349477332864	9.170603117816025e-19	2.9223671578153746e-19	2.051605633618615e-19	0	0.011610261919797395	0.006060744611660118	0.004683082207590995	1.4520507136365064e-18	0.005878346297810889	0.003999029363224882	4.464660927759289e-19	0	0	0	8.213676627903554e-19	0.009274206037759388	0.0029193478272131097	0	0	0.008468763505453593	0.012655340468323025	0.005490173762370158	4.093036120225126e-19	0	3.1577144409951945e-19
immune score	0.006641645536464288	0.06841144245651759	0.07471967187848101	0.020913086671946277	0.022707463962985574	0.016719396000201298	0.0496925910579143	0.08209126380817222	0.04589258831107488	0.09866059092588259	0.016198123646288105	0.00615638728331631	0.04414368819622868	0.02238520156599953	0.03078294452928884	0.10700190898670135	0.01616106639795557	0.0033370546138507665	8.776333392041516e-18	0.002816392248968807	0.02645016005914884	0.011804984778839392	0.01719412534343168	0.0026857105304050233	0.018071462065965552	0.005899747226351904	0.07644311998938061	0.039694876843433494	0.011877374773699323	0.006768456529685017	0.1492338312009686	0.017150743092747844
stroma score	0.03531848785015339	5.360608884991219e-19	0.021621190503752396	0.05257136006718438	0.024284393804955676	0.11407176245199009	0.030369766383372684	0.1263006586492033	0	0.12602937723458008	0.006775069445866964	0.013626191530377791	0.0836839850591697	0.0012126937933345367	0.12612274256507763	0.21625685127430463	0.002541714641560485	0.006675568418443155	8.192085329577138e-19	2.559357139504896e-4	0.0837704325120598	0.011986515878529376	0.04734938899907508	0.051062476122514015	0.011373392627036254	0.015232120106829903	0.05075372787576893	0.051720077669368425	0.1509030271925637	0.24437496108048665	0.10621374557093022	0.04339193877302614
microenvironment score	0.04196013338661768	0.06841144245651759	0.09634086238223341	0.07348444673913065	0.04699185776794125	0.13079115845219139	0.08006235744128698	0.20839192245737553	0.04589258831107488	0.22468996816046266	0.022973193092155068	0.0197825788136941	0.12782767325539837	0.023597895359334067	0.15690568709436647	0.323258760261006	0.018702781039516055	0.010012623032293921	9.59554192499923e-18	0.0030723279629192965	0.11022059257120864	0.023791500657368767	0.06454351434250676	0.05374818665291904	0.029444854693001808	0.021131867333181807	0.12719684786514954	0.09141495451280192	0.16278040196626303	0.25114341761017167	0.2554475767718988	0.06054268186577398
